acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,like
0.852,2.385,3.492,3.738,0.102,1.3294329432,0.0975,1.5268026976,0.1645,:)
0.0605,3.75,5.562,7.224,0.11,0.790524507,0.0984,2.8070638076,0.389,:)
0.458,5.415,9.396,7.476,0.103,0.7676949514,0.0921,2.450263704,1.105,:)
0.0155,5.28,8.946,10.374,0.069,1.046231896,0.0864,2.7885180704,0.615,:)
0.632,3.48,4.338,1.4553,0.104,1.0337942886,0.1062,2.312964724,0.4875,:)
0.0117,4.875,9.126,8.463,0.108,1.0040094918,0.1434,2.7668813764,0.73,:)
0.0455,5.88,10.98,0.06342,0.202,0.6998608952,0.1002,3.2013660728,0.905,:)
0.58,7.515,8.64,1.659,0.133,0.7381556338,0.0747,3.0081704996,0.61,:)
0.596,3.6,3.546,4.263,0.12,1.248997627,0.1005,1.9850207504,0.236,:)
0.819,3.63,5.616,4.788,0.121,1.5504459536,0.1386,3.2460012104,1.95,:)
0.0417,5.835,16.812,0.4935,0.123,0.360363309,0.1419,2.0566098912,2.375,:)
0.00311,6.585,14.706,4.998,0.261,0.4149414942,0.0966,3.3564758776,1.935,:)
0.0225,4.305,12.456,4.725,0.0963,0.6461828,0.1569,2.396442158,0.82,:)
0.0887,3.735,5.562,0.2541,0.0829,0.8806971606,0.0984,2.8095063116,0.198,:)
0.0109,4.65,13.428,0.03213,0.103,0.5507732592,0.1401,2.7308706552,0.3615,:)
0.0801,4.11,6.246,0.2457,0.157,0.7619671058,0.093,2.9471943628,0.8,:)
0.0261,7.02,6.876,15.393,0.633,1.0451681532,0.1083,1.6229465676,0.585,:)
0.638,6.465,3.456,18.438,0.184,1.0948367564,0.0903,1.5676768112,0.2315,:)
0.0209,5.865,6.624,0.2226,0.108,0.972833647,0.0951,3.1566877052,0.198,:)
0.00415,4.545,9.72,2.814,0.123,0.890679977,0.1155,2.3360280132,0.505,:)
0.36,5.43,5.688,15.456,0.126,1.2386056788,0.096,2.8269712952,0.625,:)
0.0836,4.14,11.52,11.382,0.178,0.654692742,0.1218,2.4043100468,0.635,:)
0.0732,7.53,7.146,0.3255,0.1,0.7690859996,0.0819,2.160427114,0.4165,:)
0.155,6.555,9.972,0.02121,0.0612,0.6236805498,0.0915,3.1336244164,0.725,:)
0.642,3.375,8.46,0.06006,0.192,0.6418460028,0.0972,3.45880166,0.635,:)
0.24,8.4,7.83,2.121,0.124,0.7345552738,0.0969,3.1996800968,0.875,:)
0.0366,10.05,11.106,5.376,0.0824,0.7192537436,0.0819,2.5521571848,3.69,:)
0.767,4.935,5.85,1.1739,0.921,1.1181572702,0.2136,3.2419591908,1.335,:)
0.322,12.675,5.94,14.994,0.0432,1.0072887794,0.132,2.0665597984,4.415,:(
0.238,7.155,10.188,0,0.122,0.8400232694,1.005,3.3025579496,3.89,:(
