acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,like
0.398,5.805,9.576,0.0002436,0.305,1.1571393566,0.315,2.6658391216,1.94,-1
0.0636,6.51,15.84,18.459,0.0683,0.5105191304,0.1533,2.6772099724,4.315,-1
0.784,5.28,6.228,18.606,0.106,1.0480624496,0.0984,3.2323349096,1.22,-1
0.0624,7.71,9.972,3.213,0.676,0.7852417124,0.2547,2.4589464908,3.57,-1
0.00846,10.38,14.058,0.007266,0.0615,0.494206602,0.0945,2.065515052,2.67,-1
0.00143,6.66,14.994,0,0.0825,0.6259670248,0.1083,1.8946301156,3.125,-1
0.000571,6.57,16.596,1.0899,0.325,0.3864599012,0.12,1.8430443556,2.465,-1
0.439,8.46,9.936,0,0.163,0.3807190114,0.165,2.2724076828,1.3,-1
0.369,8.475,13.806,0,0.0979,0.5446144152,0.1095,1.3847422132,2,-1
0.772,7.98,4.968,0,0.405,1.2204291666,0.0918,1.2977362532,3.85,-1
0.384,10.905,13.482,0.00013251,0.261,0.4633318164,0.0753,1.706139312,4.6,-1
0.463,8.415,12.564,0.0009051,0.102,0.3968915182,0.1404,3.2567064332,3.4,-1
0.12,7.725,16.776,0.0004158,0.451,0.2683515944,0.1236,1.8864431032,4.435,-1
0.0411,10.77,13.302,1.1886,0.172,0.6199460916,0.0855,2.5204817452,3.46,-1
0.0186,8.82,15.444,17.976,0.184,0.7572373718,0.1524,2.04624146,4.245,-1
0.0103,7.05,11.916,14.511,0.175,0.7673889452,0.1116,2.7083282008,0.815,-1
0.0203,8.925,6.624,13.776,0.256,1.0484825148,0.1215,1.9279277572,0.67,-1
0.0844,8.385,13.194,18.606,0.0974,0.907760703,0.1122,1.7580851488,0.835,-1
0.658,3.945,3.474,0.009282,0.324,1.3629012496,0.1236,1.603555286,0.945,-1
0.0165,7.86,7.38,17.619,0.0967,1.0971400568,0.0963,2.0796149072,0.935,-1
0.108,7.785,6.444,20.076,0.0803,0.9045402038,0.0825,1.9890650316,0.6,-1
0.387,7.05,5.31,19.089,0.0836,1.0679455316,0.0843,1.6500431144,1.09,-1
0.0673,5.025,9.216,18.522,0.078,0.9414359226,0.105,2.0843527616,0.3665,-1
0.000427,5.475,13.608,13.902,0.321,0.8215773444,0.1176,3.5963347956,2.775,-1
0.000881,8.085,6.912,11.109,0.122,0.973360871,0.0774,1.7818691784,1.76,-1
0.083,6.78,9.612,16.044,0.353,0.9513074526,0.1281,2.273222594,1.045,-1
0.23,5.355,3.978,16.632,0.448,1.0073861448,0.1503,2.3690788664,0.66,-1
0.000365,8.235,11.97,17.094,0.13,0.8289984948,0.0954,3.0310898012,2.745,-1
0.0249,7.32,7.344,4.557,0.117,1.1836734694,0.0864,1.8000246368,0.381,-1
